DATA PKS SMK DENGAN INDUSTRI THN 2017 APAC INTI,,,,,,,,
,,,,,,,,
NO,INDUSTRI,BIDANG ,NAMA SEKOLAH,KABUPATEN/KOTA,KETERANGAN KERJASAMA (THN),,LINGKUP KERJASAMA ,KERJASAMA 
,,,,,MULAI,BERAKHIR ,,
1,PT. ATMI SOLO,Manufaktur furniture,SMK NEGERI 1 SURAKARTA,Kota Surakarta,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. DELTOMED LABORATORIES,Industri obat herbal tradisional,SMK NEGERI 2 SURAKARTA,Kota Surakarta,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMK NEGERI 2 SUKOHARJO,Kab. Sukoharjo,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,CV. VINA ARYA FURNITURE,Manufaktur furniture,SMK NEGERI 2 SURAKARTA,Kota Surakarta,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. KUSUMAHADI SANTOSA,Industri Tekstil,SMK NEGERI 2 SURAKARTA,Kota Surakarta,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
