npsn,nama_smk,status,akreditasi,alamat,kab_kota,kecamatan,telp,fax
20300679,SMK BOEDI OETOMO CILACAP,Swasta,,JL. BALI TIMUR NO. 100 RT 2 RW 5 Kebonmanis Kode Pos 53535,Kab. Cilacap,Kec. Cilacap Utara,282545851,282545851
20300680,SMK BINA BHAKTI CILACAP,Swasta,,JL. MAY. JEND SUTOYO 44 CILACAP RT 5 RW 13 Sidakaya Kode Pos 53212,Kab. Cilacap,Kec. Cilacap Selatan,282534494,282534494
20300683,SMK WIJAYA KUSUMA CILACAP,Swasta,,JL. SETO NO. 1 B RT 3 RW 17 Gumilir Kode Pos 53231,Kab. Cilacap,Kec. Cilacap Utara,282548107,282548108
20300686,SMK TAMTAMA 1 SIDAREJA,Swasta,,JL. JEND. AHMAD YANI NO.31 RT 7 RW 1 Tegalsari Kode Pos 53261,Kab. Cilacap,Kec. Sidareja,280523854,
20300687,SMK TAMANSISWA CILACAP,Swasta,,JL. KAUMAN 36 CILACAP RT 2 RW 1 Sidanegara Kode Pos 53223,Kab. Cilacap,Kec. Cilacap Tengah,282532853,
20300688,SMK NUSA TARUNA 2 KAWUNGANTEN,Swasta,,JL. RAYA BRINGKENG RT.01 RW.07 DUSUN NUSADADI RT 1 RW 7 Bojong Kode Pos 53253,Kab. Cilacap,Kec. Kawunganten,2825501188,
20300690,SMK NEGERI NUSAWUNGU,Negeri,,JL. PERINTIS RT 3 RW 1 Klumprit Kode Pos 53283,Kab. Cilacap,Kec. Nusawungu,85101500450,
20300691,SMK NEGERI  KARANGPUCUNG,Negeri,,JL. RAYA CIPOROS - KARANGPUCUNG RT 2 RW 6 Ciporos Kode Pos 53255,Kab. Cilacap,Kec. Karangpucung,6261440,6261440
20300692,SMK NEGERI 2 CILACAP,Negeri,,JL. BUDI UTOMO NO. 8 RT 3 RW 9 Sidakaya Kode Pos 53212,Kab. Cilacap,Kec. Cilacap Selatan,282534736,282520595
20300693,SMK NEGERI 1 WANAREJA,Negeri,A,JL. SRIKAYA WANAREJA RT 1 RW 5 Wanareja Kode Pos 53265,Kab. Cilacap,Kec. Wanareja,2806260233,2806260233
20300700,SMK YPE SAMPANG,Swasta,,JL. GERILYA NO. 478 RT 1 RW 4 Sampang Kode Pos 53273,Kab. Cilacap,Kec. Sampang,282697146,282697008
20300702,SMK YPE CILACAP,Swasta,,JL. DR. SUTOMO NO 8 DAN NO 9 CILACAP RT 1 RW 3 Sidanegara Kode Pos 53223,Kab. Cilacap,Kec. Cilacap Tengah,282531809,2825253028
